Epoch = 1, ER Nodes = 1000, Initial probability = 0.0003666666666666666, GC Size = 9, Avg Degree = 0.37
Epoch = 2, ER Nodes = 1002, Initial probability = 0.0003666666666666666, GC Size = 10, Avg Degree = 0.37
Epoch = 3, ER Nodes = 1006, Initial probability = 0.0003666666666666666, GC Size = 10, Avg Degree = 0.37
Epoch = 4, ER Nodes = 1009, Initial probability = 0.0003666666666666666, GC Size = 6, Avg Degree = 0.37
Epoch = 5, ER Nodes = 1015, Initial probability = 0.0003666666666666666, GC Size = 8, Avg Degree = 0.37
Epoch = 6, ER Nodes = 1018, Initial probability = 0.0003666666666666666, GC Size = 10, Avg Degree = 0.37
Epoch = 7, ER Nodes = 1025, Initial probability = 0.0003666666666666666, GC Size = 6, Avg Degree = 0.37
Epoch = 8, ER Nodes = 1033, Initial probability = 0.0003666666666666666, GC Size = 8, Avg Degree = 0.38
Epoch = 9, ER Nodes = 1034, Initial probability = 0.0003666666666666666, GC Size = 8, Avg Degree = 0.38
Epoch = 10, ER Nodes = 1037, Initial probability = 0.0003666666666666666, GC Size = 7, Avg Degree = 0.38
Epoch = 11, ER Nodes = 1038, Initial probability = 0.0003666666666666666, GC Size = 6, Avg Degree = 0.38
Epoch = 12, ER Nodes = 1046, Initial probability = 0.0003666666666666666, GC Size = 7, Avg Degree = 0.38
Epoch = 13, ER Nodes = 1046, Initial probability = 0.0003666666666666666, GC Size = 5, Avg Degree = 0.38
Epoch = 14, ER Nodes = 1048, Initial probability = 0.0003666666666666666, GC Size = 6, Avg Degree = 0.38
Epoch = 15, ER Nodes = 1054, Initial probability = 0.0003666666666666666, GC Size = 7, Avg Degree = 0.39
Epoch = 16, ER Nodes = 1058, Initial probability = 0.0003666666666666666, GC Size = 5, Avg Degree = 0.39
Epoch = 17, ER Nodes = 1061, Initial probability = 0.0003666666666666666, GC Size = 7, Avg Degree = 0.39
Epoch = 18, ER Nodes = 1061, Initial probability = 0.0003666666666666666, GC Size = 6, Avg Degree = 0.39
Epoch = 19, ER Nodes = 1066, Initial probability = 0.0003666666666666666, GC Size = 7, Avg Degree = 0.39
Epoch = 20, ER Nodes = 1070, Initial probability = 0.0003666666666666666, GC Size = 12, Avg Degree = 0.39
Epoch = 21, ER Nodes = 1075, Initial probability = 0.0003666666666666666, GC Size = 12, Avg Degree = 0.39
Epoch = 22, ER Nodes = 1076, Initial probability = 0.0003666666666666666, GC Size = 10, Avg Degree = 0.39
Epoch = 23, ER Nodes = 1084, Initial probability = 0.0003666666666666666, GC Size = 8, Avg Degree = 0.40
Epoch = 24, ER Nodes = 1089, Initial probability = 0.0003666666666666666, GC Size = 8, Avg Degree = 0.40
Epoch = 25, ER Nodes = 1091, Initial probability = 0.0003666666666666666, GC Size = 11, Avg Degree = 0.40
Epoch = 26, ER Nodes = 1092, Initial probability = 0.0003666666666666666, GC Size = 7, Avg Degree = 0.40
Epoch = 27, ER Nodes = 1097, Initial probability = 0.0003666666666666666, GC Size = 7, Avg Degree = 0.40
Epoch = 28, ER Nodes = 1105, Initial probability = 0.0003666666666666666, GC Size = 11, Avg Degree = 0.40
Epoch = 29, ER Nodes = 1110, Initial probability = 0.0003666666666666666, GC Size = 9, Avg Degree = 0.41
Epoch = 30, ER Nodes = 1116, Initial probability = 0.0003666666666666666, GC Size = 10, Avg Degree = 0.41
Epoch = 31, ER Nodes = 1120, Initial probability = 0.0003666666666666666, GC Size = 6, Avg Degree = 0.41
Epoch = 32, ER Nodes = 1124, Initial probability = 0.0003666666666666666, GC Size = 11, Avg Degree = 0.41
Epoch = 33, ER Nodes = 1131, Initial probability = 0.0003666666666666666, GC Size = 7, Avg Degree = 0.41
Epoch = 34, ER Nodes = 1137, Initial probability = 0.0003666666666666666, GC Size = 12, Avg Degree = 0.42
Epoch = 35, ER Nodes = 1141, Initial probability = 0.0003666666666666666, GC Size = 9, Avg Degree = 0.42
Epoch = 36, ER Nodes = 1149, Initial probability = 0.0003666666666666666, GC Size = 10, Avg Degree = 0.42
Epoch = 37, ER Nodes = 1155, Initial probability = 0.0003666666666666666, GC Size = 10, Avg Degree = 0.42
Epoch = 38, ER Nodes = 1158, Initial probability = 0.0003666666666666666, GC Size = 10, Avg Degree = 0.42
Epoch = 39, ER Nodes = 1162, Initial probability = 0.0003666666666666666, GC Size = 9, Avg Degree = 0.43
Epoch = 40, ER Nodes = 1171, Initial probability = 0.0003666666666666666, GC Size = 11, Avg Degree = 0.43
Epoch = 41, ER Nodes = 1175, Initial probability = 0.0003666666666666666, GC Size = 16, Avg Degree = 0.43
Epoch = 42, ER Nodes = 1185, Initial probability = 0.0003666666666666666, GC Size = 11, Avg Degree = 0.43
Epoch = 43, ER Nodes = 1192, Initial probability = 0.0003666666666666666, GC Size = 8, Avg Degree = 0.44
Epoch = 44, ER Nodes = 1197, Initial probability = 0.0003666666666666666, GC Size = 9, Avg Degree = 0.44
Epoch = 45, ER Nodes = 1198, Initial probability = 0.0003666666666666666, GC Size = 9, Avg Degree = 0.44
Epoch = 46, ER Nodes = 1201, Initial probability = 0.0003666666666666666, GC Size = 9, Avg Degree = 0.44
Epoch = 47, ER Nodes = 1205, Initial probability = 0.0003666666666666666, GC Size = 8, Avg Degree = 0.44
Epoch = 48, ER Nodes = 1208, Initial probability = 0.0003666666666666666, GC Size = 8, Avg Degree = 0.44
Epoch = 49, ER Nodes = 1215, Initial probability = 0.0003666666666666666, GC Size = 10, Avg Degree = 0.44
Epoch = 50, ER Nodes = 1223, Initial probability = 0.0003666666666666666, GC Size = 9, Avg Degree = 0.45
Epoch = 51, ER Nodes = 1224, Initial probability = 0.0003666666666666666, GC Size = 12, Avg Degree = 0.45
Epoch = 52, ER Nodes = 1231, Initial probability = 0.0003666666666666666, GC Size = 12, Avg Degree = 0.45
Epoch = 53, ER Nodes = 1235, Initial probability = 0.0003666666666666666, GC Size = 11, Avg Degree = 0.45
Epoch = 54, ER Nodes = 1239, Initial probability = 0.0003666666666666666, GC Size = 12, Avg Degree = 0.45
Epoch = 55, ER Nodes = 1242, Initial probability = 0.0003666666666666666, GC Size = 9, Avg Degree = 0.45
Epoch = 56, ER Nodes = 1247, Initial probability = 0.0003666666666666666, GC Size = 9, Avg Degree = 0.46
Epoch = 57, ER Nodes = 1256, Initial probability = 0.0003666666666666666, GC Size = 18, Avg Degree = 0.46
Epoch = 58, ER Nodes = 1261, Initial probability = 0.0003666666666666666, GC Size = 8, Avg Degree = 0.46
Epoch = 59, ER Nodes = 1267, Initial probability = 0.0003666666666666666, GC Size = 9, Avg Degree = 0.46
Epoch = 60, ER Nodes = 1270, Initial probability = 0.0003666666666666666, GC Size = 16, Avg Degree = 0.46
