Epoch = 1, ER Nodes = 993, removal debris = 12, Initial probability = 0.0003, GC Size = 7, Avg Degree = 0.30, removal rate = 12
Epoch = 2, ER Nodes = 995, removal debris = 12, Initial probability = 0.0003, GC Size = 7, Avg Degree = 0.30, removal rate = 12
Epoch = 3, ER Nodes = 995, removal debris = 12, Initial probability = 0.0003, GC Size = 5, Avg Degree = 0.30, removal rate = 12
Epoch = 4, ER Nodes = 998, removal debris = 12, Initial probability = 0.0003, GC Size = 10, Avg Degree = 0.30, removal rate = 12
Epoch = 5, ER Nodes = 1001, removal debris = 12, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.30, removal rate = 12
Epoch = 6, ER Nodes = 1003, removal debris = 12, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.30, removal rate = 12
Epoch = 7, ER Nodes = 1004, removal debris = 12, Initial probability = 0.0003, GC Size = 5, Avg Degree = 0.30, removal rate = 12
Epoch = 8, ER Nodes = 1007, removal debris = 12, Initial probability = 0.0003, GC Size = 7, Avg Degree = 0.30, removal rate = 12
Epoch = 9, ER Nodes = 1008, removal debris = 12, Initial probability = 0.0003, GC Size = 8, Avg Degree = 0.30, removal rate = 12
Epoch = 10, ER Nodes = 1008, removal debris = 12, Initial probability = 0.0003, GC Size = 5, Avg Degree = 0.30, removal rate = 12
Epoch = 11, ER Nodes = 1006, removal debris = 12, Initial probability = 0.0003, GC Size = 7, Avg Degree = 0.31, removal rate = 12
Epoch = 12, ER Nodes = 1007, removal debris = 12, Initial probability = 0.0003, GC Size = 5, Avg Degree = 0.30, removal rate = 12
Epoch = 13, ER Nodes = 1007, removal debris = 12, Initial probability = 0.0003, GC Size = 7, Avg Degree = 0.30, removal rate = 12
Epoch = 14, ER Nodes = 1012, removal debris = 12, Initial probability = 0.0003, GC Size = 7, Avg Degree = 0.30, removal rate = 12
Epoch = 15, ER Nodes = 1014, removal debris = 12, Initial probability = 0.0003, GC Size = 7, Avg Degree = 0.30, removal rate = 12
Epoch = 16, ER Nodes = 1014, removal debris = 12, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.30, removal rate = 12
Epoch = 17, ER Nodes = 1015, removal debris = 12, Initial probability = 0.0003, GC Size = 5, Avg Degree = 0.30, removal rate = 12
Epoch = 18, ER Nodes = 1019, removal debris = 12, Initial probability = 0.0003, GC Size = 7, Avg Degree = 0.30, removal rate = 12
Epoch = 19, ER Nodes = 1020, removal debris = 12, Initial probability = 0.0003, GC Size = 6, Avg Degree = 0.30, removal rate = 12
