object1,object2,time
"[ 1.67520960e+09  4.24048331e+04  7.02010300e+06  0.00000000e+00
  1.47669375e+06 -5.20793762e+05  6.84324452e+06]","[ 1.67520960e+09  4.24124663e+04  7.02032100e+06  1.00000000e+00
  1.47626379e+06 -5.20973389e+05  6.84354725e+06]",1712873600
"[ 1.67520960e+09  4.23883269e+04  7.02392300e+06  0.00000000e+00
 -6.18017131e+05  1.08763772e+06 -6.91162740e+06]","[ 1.67520960e+09  4.23724863e+04  7.02403000e+06  1.00000000e+00
 -6.18260909e+05  1.08751354e+06 -6.91173388e+06]",1773964600
"[ 1.67520960e+09  4.23751278e+04  7.02308200e+06  1.00000000e+00
 -2.90660589e+06  3.11159698e+06  5.58509510e+06]","[ 1.67520960e+09  4.23559915e+04  7.02315700e+06  0.00000000e+00
 -2.90713640e+06  3.11150858e+06  5.58496254e+06]",1924981000
"[ 1.67520960e+09  4.23567882e+04  7.02353900e+06  1.00000000e+00
 -1.22463431e+06  2.24858922e+06 -6.54020010e+06]","[ 1.67520960e+09  4.22083269e+04  7.02394834e+06  1.00000000e+00
 -1.22474059e+06  2.24924985e+06 -6.54039264e+06]",1968169400
"[ 1.67520960e+09  4.23567882e+04  7.02353900e+06  1.00000000e+00
 -1.26419266e+06  2.94261014e+06 -6.25083695e+06]","[ 1.67520960e+09  4.22083269e+04  7.02394834e+06  1.00000000e+00
 -1.26428770e+06  2.94322956e+06 -6.25098605e+06]",1968169500
"[ 1.67520960e+09  4.23567882e+04  7.02353900e+06  1.00000000e+00
 -1.28922139e+06  3.60281103e+06 -5.88963165e+06]","[ 1.67520960e+09  4.22083269e+04  7.02394834e+06  1.00000000e+00
 -1.28930664e+06  3.60338804e+06 -5.88974815e+06]",1968169600
"[ 1.67520960e+09  4.23567882e+04  7.02353900e+06  1.00000000e+00
 -1.29943284e+06  4.22160409e+06 -5.46073560e+06]","[ 1.67520960e+09  4.22083269e+04  7.02394834e+06  1.00000000e+00
 -1.29950990e+06  4.22213927e+06 -5.46083000e+06]",1968169700
"[ 1.67520960e+09  4.23567882e+04  7.02353900e+06  1.00000000e+00
 -1.29470963e+06  4.79187738e+06 -4.96907821e+06]","[ 1.67520960e+09  4.22083269e+04  7.02394834e+06  1.00000000e+00
 -1.29478024e+06  4.79237307e+06 -4.96916036e+06]",1968169800
"[ 1.67520960e+09  4.23567882e+04  7.02353900e+06  1.00000000e+00
 -1.27510607e+06  5.30707664e+06 -4.42031018e+06]","[ 1.67520960e+09  4.22083269e+04  7.02394834e+06  1.00000000e+00
 -1.27517200e+06  5.30753677e+06 -4.42038913e+06]",1968169900
"[ 1.67520960e+09  4.23567882e+04  7.02353900e+06  1.00000000e+00
 -1.24084744e+06  5.76128059e+06 -3.82073863e+06]","[ 1.67520960e+09  4.22083269e+04  7.02394834e+06  1.00000000e+00
 -1.24091051e+06  5.76171052e+06 -3.82082233e+06]",1968170000
"[ 1.67520960e+09  4.23567882e+04  7.02353900e+06  1.00000000e+00
 -1.19232751e+06  6.14926896e+06 -3.17725454e+06]","[ 1.67520960e+09  4.22083269e+04  7.02394834e+06  1.00000000e+00
 -1.19238947e+06  6.14967531e+06 -3.17734971e+06]",1968170100
"[ 1.67520960e+09  4.23567882e+04  7.02353900e+06  1.00000000e+00
 -1.13010391e+06  6.46658253e+06 -2.49725362e+06]","[ 1.67520960e+09  4.22083269e+04  7.02394834e+06  1.00000000e+00
 -1.13016645e+06  6.46697297e+06 -2.49736554e+06]",1968170200
